Site,Seq,Structure Designation,cycle,Inspection year,Last Inspection,Highway,Year Built,type-full,Type,Feature Intersect,UTM_X,UTM_Y
1470,10,PR Str. ,4,2018,2016,408,2003,,ACROW,Whitemouth River,714356.395,5541848.48
3718,10,PR Str. ,4,2018,2014,710,2008,,ACROW,English Brook,697366.01,5669823.492
3735,10,PR Str. ,4,2018,2014,710,2008,,ACROW,Steeprock Creek,688200.289,5681075.49
4228,10,PR Str. ,4,2018,2016,287,2012,,ACROW,Cormorant Lake Narrows,395330.798,6009300.471
4444,10,PR Str. ,4,2018,2016,760,2007,,ACROW,Mistik Creek,338361.898,6062597.939
4491,00,Winter Road Str. ,4,2018,2014,790,2013,,ACROW,Mainland River,733866.741,5962964.235
4492,00,Winter Road Str. ,4,2018,2014,790,2013,,ACROW,Feather Rapids,693151.985,5969817.935
4493,00,Winter Road Str. ,4,2018,2014,700,2012,,ACROW,Red Sucker River,850412.821,6019642.12
4494,00,Winter Road Str. ,4,2018,2014,727,2013,,ACROW,Panko Narrows,796137.21,6017498.871
4503,10,Winter Road Str. ,4,2018,N/A,725,2015,,ACROW,Hayes River,704432.731,6066877.772
4504,10,Winter Road Str. ,4,2018,N/A,725,2015,,ACROW,Laidlaw River,734173.543,6079298.404
4607,00,Winter Road Str. ,4,2018,2014,780,2004,,ACROW,Cochrane River,354913.888,6429454.301
4608,00,Winter Road Str. ,4,2018,2014,725,2004,,ACROW,Echimamish River,664137.453,6041392.389
4625,00,Winter Road Str. ,4,2018,2014,735,2005,,ACROW,Gods River,814625.073,6091320.153
4626,00,Winter Road Str. ,4,2018,2014,727,2007,,ACROW,Gods Lake Narrows,792237.819,6054994.479
9000,00,PR Str. ,4,2018,2016,WR,1989,,ACROW,Grass River,581532.102,6161473.305
60,04,Access/Service/Etc. ,4,2018,2014,101,1964,Aquaduct,AQ,GWWD Aqueduct,646668.754,5524389.302
60,02,Access/Service/Etc. ,4,2018,2014,101,1964,Aquaduct,AQ,GWWD Aqueduct,646703.727,5524380.719
60,01,Access/Service/Etc. ,4,2018,2014,101,1964,Aquaduct,AQ,GWWD Aqueduct,646733.119,5524371.488
1665,00,Access/Service/Etc. ,4,2018,2014,302,2000,Aquaduct,AQ,GWWD Aqueduct,681347.195,5519747.404
2239,00,Access/Service/Etc. ,4,2021,2017,206,1982,Aquaduct,AQ,GWWD Aqueduct,655011.961,5523988.647
2675,01,Access/Service/Etc. ,4,2021,2017,001,1953,Aquaduct,AQ,GWWD Aqueduct,728084.819,5504525.325
2968,00,Access/Service/Etc. ,4,2018,2014,012,1958,Aquaduct,AQ,GWWD Aqueduct,669843.931,5523486.958
3926,02,Access/Service/Etc. ,4,2021,2017,001,1974,Aquaduct,AQ,GWWD Aqueduct,728307.927,5504444.91
4069,00,Access/Service/Etc. ,4,2018,2014,011,1974,Aquaduct,AQ,GWWD Aqueduct,723134.02,5507365.999
619,10,PR Str. ,4,2021,2017,304,1991,Pre-cast pre-stressed box girder bridge,B,Main Drain No. 1,689522.25,5593115.136
2959,00,"PTH, PR Str. ",2,2018,2016,100,1959,Pre-cast pre-stressed box girder bridge,B,"CNR - Overhead, Wilkes Ave.",620483.886,5522083.011
1337,10,PR Str. ,4,2021,2017,638,1990,Pre-cast pre-stressed box girder bridge,B,Killarney Lake,451067.953,5447341.171
3053,00,"PTH, PR Str. ",2,2019,2017,345,1959,Pre-cast pre-stressed box girder bridge,B,Souris River,372334.298,5473358.843
1554,10,PR Str. ,4,2019,N/A,312,2017,Pre-cast pre-stressed box girder bridge,B,Whiteshell River,775341.504,5523398.008
3069,00,"PTH, PR Str. ",2,2018,2016,101,1965,Pre-cast pre-stressed box girder bridge,B,"OverPass, PTH 101 & PR 221",620478.276,5535203.206
2591,10,Water Control Bridge ,4,2018,N/A,000,2015,Pre-cast pre-stressed box girder bridge,B,Grassmere Drain,621845.27,5544257.488
2387,00,"PTH, PR Str. ",2,2018,2016,016,1969,Pre-cast pre-stressed box girder bridge,B,Whitemud River,529234.872,5553529.308
3153,00,"PTH, PR Str. ",2,2019,2017,001,1969,Pre-cast pre-stressed box girder bridge,B,Brokenhead River,696748.875,5504128.475
1204,00,"PTH, PR Str. ",2,2019,2017,205,1971,Pre-cast pre-stressed box girder bridge,B,Morris River,613233.402,5479565.097
3861,00,"PTH, PR Str. ",2,2019,2017,059,1972,Pre-cast pre-stressed box girder bridge,B,"OverPass, PTH 100",640526.895,5519969.335
2687,00,"PTH, PR Str. ",2,2019,2017,014,1975,Pre-cast pre-stressed box girder bridge,B,Hespeler Floodway,589953.584,5448893.587
1048,00,"PTH, PR Str. ",2,2019,2017,329,1976,Pre-cast pre-stressed box girder bridge,B,Icelandic River,640439.489,5651046.605
1927,00,"PTH, PR Str. ",2,2019,2017,044,1976,Pre-cast pre-stressed box girder bridge,B,CNR - Overhead,740496.037,5529549.52
2418,00,"PTH, PR Str. ",2,2019,2017,024,1977,Pre-cast pre-stressed box girder bridge,B,Little Saskatchewan River,425852.429,5552757.962
2669,00,"PTH, PR Str. ",2,2018,2016,317,1977,Pre-cast pre-stressed box girder bridge,B,Brokenhead River,679276.079,5571363.933
771,00,"PTH, PR Str. ",2,2019,2017,020,1979,Pre-cast pre-stressed box girder bridge,B,Mink River,429222.861,5698426.498
4452,02,"PTH, PR Str. ",2,2018,2016,012,1982,Pre-cast pre-stressed box girder bridge,B,"CNR - Overhead, PR207",668620.608,5505367.459
4452,01,"PTH, PR Str. ",2,2018,2016,012,1982,Pre-cast pre-stressed box girder bridge,B,"CNR - Overhead, PR207",668640.846,5505336.059
4454,01,"PTH, PR Str. ",2,2018,2016,012,1983,Pre-cast pre-stressed box girder bridge,B,"Interchange, PTH 12 & PTH 1",669799.032,5508017.464
4454,02,"PTH, PR Str. ",2,2018,2016,012,1983,Pre-cast pre-stressed box girder bridge,B,"Interchange, PTH 12 & PTH 1",669654.219,5508101.088
4214,10,"PTH, PR Str. ",2,2018,2016,010,1985,Pre-cast pre-stressed box girder bridge,B,"East Baker""s Narrows",330364.56,6061494.094
2636,10,"PTH, PR Str. ",2,2019,2017,059,1989,Pre-cast pre-stressed box girder bridge,B,Joubert Creek,646051.152,5478052.473
2213,10,"PTH, PR Str. ",2,2019,2017,005,1990,Pre-cast pre-stressed box girder bridge,B,Turtle River,462949.972,5655727.226
718,00,"PTH, PR Str. ",2,2018,2016,240,1991,Pre-cast pre-stressed box girder bridge,B,"OverPass, PR 240 &  #1 West",552070.665,5533789.706
2259,01,"PTH, PR Str. ",2,2018,2016,007,1991,Pre-cast pre-stressed box girder bridge,B,"OverPass, PTH 7 & PTH 101",626953.081,5539010.002
2259,02,"PTH, PR Str. ",2,2018,2016,007,1991,Pre-cast pre-stressed box girder bridge,B,"OverPass, PTH 7 & PTH 101",626922.107,5539009.802
675,10,"PTH, PR Str. ",2,2018,2016,083,1992,Pre-cast pre-stressed box girder bridge,B,Stoney Creek,357725.346,5479931.291
470,10,"PTH, PR Str. ",2,2018,2016,100,1994,Pre-cast pre-stressed box girder bridge,B,"OverPass,  PTH 1W",620307.145,5526697.724
2542,02,"PTH, PR Str. ",2,2018,2016,075,1994,Pre-cast pre-stressed box girder bridge,B,Plum River,619924.883,5458443.775
2978,10,"PTH, PR Str. ",2,2019,2017,010,1994,Pre-cast pre-stressed box girder bridge,B,Bell River,358337.36,5828832.423
4113,10,"PTH, PR Str. ",2,2019,2017,246,1994,Pre-cast pre-stressed box girder bridge,B,Plum River,620231.751,5459329.668
2191,10,"PTH, PR Str. ",2,2019,2017,16A,1995,Pre-cast pre-stressed box girder bridge,B,Little Saskatchewan River,440204.715,5566650.083
431,02,"PTH, PR Str. ",2,2018,2016,101,1996,Pre-cast pre-stressed box girder bridge,B,CPR - Overhead,645576.865,5532182.06
294,10,"PTH, PR Str. ",2,2019,2017,013,1998,Pre-cast pre-stressed box girder bridge,B,Elm River,571068.76,5529360.059
216,10,"PTH, PR Str. ",2,2019,2017,013,2000,Pre-cast pre-stressed box girder bridge,B,Crooked Lake Channel,571571.853,5518292.887
431,01,"PTH, PR Str. ",2,2018,2016,101,2006,Pre-cast pre-stressed box girder bridge,B,CPR - Overhead,645606.578,5532190.269
2993,03,"PTH, PR Str. ",2,2019,2017,100,2006,Pre-cast pre-stressed box girder bridge,B,CNR - Overhead,646339.971,5521908.084
709,10,"PTH, PR Str. ",2,2018,2016,001,2007,Pre-cast pre-stressed box girder bridge,B,CNR - Overhead,554908.267,5535347.87
2736,10,"PTH, PR Str. ",2,2018,2016,005,2007,Pre-cast pre-stressed box girder bridge,B,CNR - Overhead,348078.247,5675228.642
3425,00,PR Str. ,4,2019,2015,234,1988,Pre-cast pre-stressed box girder bridge,B,Washow Bay Drain,638912.892,5671596.835
2922,10,"PTH, PR Str. ",2,2019,2017,005,2013,Pre-cast pre-stressed box girder bridge,B,Turtle River,464234.945,5640656.635
5954,03,"PTH, PR Str. ",2,2019,2017,101,2013,Pre-cast pre-stressed box girder bridge,B,"CPR - Overhead, Saskatchewan Ave.",620547.48,5528741.112
5954,04,"PTH, PR Str. ",2,2019,2017,101,2013,Pre-cast pre-stressed box girder bridge,B,"CPR - Overhead, Saskatchewan Ave.",620485.285,5528739.425
5954,01,"PTH, PR Str. ",2,2019,2017,101,2013,Pre-cast pre-stressed box girder bridge,B,"CPR - Overhead, Saskatchewan Ave.",620526.246,5528740.744
5954,02,"PTH, PR Str. ",2,2019,2017,101,2013,Pre-cast pre-stressed box girder bridge,B,"CPR - Overhead, Saskatchewan Ave.",620513.247,5528740.864
3179,12,"PTH, PR Str. ",2,2019,2017,012,2015,Pre-cast pre-stressed box girder bridge,B,Seine River Diversion,667908.277,5502700.836
3187,11,"PTH, PR Str. ",2,2019,2017,012,2015,Pre-cast pre-stressed box girder bridge,B,Seine River Diversion,667944.151,5502701.013
2051,12,"PTH, PR Str. ",2,2018,N/A,241,2016,Pre-cast pre-stressed box girder bridge,B,"OverPass, PTH 100 & PR 241",620406.199,5524863.01
2051,11,"PTH, PR Str. ",2,2018,N/A,241,2016,Pre-cast pre-stressed box girder bridge,B,"OverPass, PTH 100 & PR 241",620403.006,5524878.468
6830,00,Water Control Bridge ,4,2019,2015,000,1970,Pre-cast pre-stressed box girder bridge,B,"Assiniboine River, Diversion",548113,5532883
180,00,"PTH, PR Str. ",2,2018,2016,012,1952,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Selkirk Line Drain,678777.115,5558340.893
308,10,Water Control Bridge ,4,2021,2017,000,1999,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Seine River Diversion,639048.131,5506627.809
399,10,Water Control Bridge ,4,2020,2016,000,1997,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Backman West Drain,680502.337,5555086.651
434,00,Water Control Bridge ,4,2021,2017,000,1998,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,U Lateral Drain,680398.223,5573036.449
689,10,PR Str. ,4,2021,2017,366,2001,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Old Government Drain,360395.892,5771338.778
905,00,PR Str. ,4,2020,2016,326,1968,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Icelandic River,625277.826,5640859.958
954,10,Access/Service/Etc. ,4,2018,2014,623,1997,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Rat River,641083.922,5485068.464
1328,00,Water Control Bridge ,4,2021,2017,000,1994,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Icelandic River,633266.393,5642637.831
1587,10,PR Str. ,4,2021,2017,000,1987,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Goose River,340793.834,6046150.849
1729,00,Water Control Bridge ,4,2018,2014,000,1998,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Tobacco Creek,588824.274,5472533.595
1865,00,PR Str. ,4,2019,2015,313,1966,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Lee River,722356.859,5573293.549
3241,00,"PTH, PR Str. ",2,2018,2016,044,1962,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Bears Creek,687404.698,5548732.708
719,00,"PTH, PR Str. ",2,2019,2017,003,1963,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Morris River,602531.003,5493774.403
3063,00,"PTH, PR Str. ",2,2019,2017,009,1963,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"OverPass, PTH 101",638122.466,5537306.621
3238,00,"PTH, PR Str. ",2,2018,2016,010,1963,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,CPR - Overhead,430847.89,5522445.813
478,02,"PTH, PR Str. ",2,2019,2017,001,1965,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,La Salle River,588667.562,5529156.088
483,02,"PTH, PR Str. ",2,2019,2017,001,1965,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,La Salle River,570012.201,5534195.452
2429,10,PR Str. ,4,2019,2015,247,1986,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,La Salle River,622657.35,5505798.14
1710,00,"PTH, PR Str. ",2,2019,2017,005,1965,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Salt Creek,423176.871,5667628.352
2599,01,"PTH, PR Str. ",2,2018,2016,007,1965,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Grassmere Drain,626747.063,5545003.806
110,00,"PTH, PR Str. ",2,2018,2016,020,1966,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Fishing River,429255.821,5700739.344
2517,10,PR Str. ,4,2021,2017,507,1988,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Whitemouth River,724888.634,5514221.955
1506,00,"PTH, PR Str. ",2,2018,2016,067,1966,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Grassmere Drain,616744.263,5553546.004
1521,00,"PTH, PR Str. ",2,2018,2016,020,1966,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Vermillion River,428968.109,5671138.217
2394,00,"PTH, PR Str. ",2,2018,2016,014,1966,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Plum River,616360.433,5449938.797
525,00,"PTH, PR Str. ",2,2019,2017,023,1967,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Drain,455624.189,5472531.91
2566,10,PR Str. ,4,2021,2017,233,1982,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Icelandic River,619576.611,5643963.455
2571,00,PR Str. ,4,2020,2016,245,1981,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Boyne River,571922.095,5483790.284
2704,00,"PTH, PR Str. ",2,2018,2016,044,1969,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Bog River,736186.012,5532364.225
889,00,"PTH, PR Str. ",2,2018,2016,044,1970,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Bog River, West",725102.971,5535384.707
1931,00,"PTH, PR Str. ",2,2019,2017,003,1970,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Souris River,356210.707,5458976.734
1672,00,"PTH, PR Str. ",2,2018,2016,002,1971,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Boyne River,535481.393,5499900.504
1588,00,"PTH, PR Str. ",2,2018,2016,003,1972,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Graham Creek,572473.372,5469498.98
2860,00,"PTH, PR Str. ",2,2019,2017,032,1972,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Drain,577964.408,5443836.799
2511,00,"PTH, PR Str. ",2,2019,2017,010,1975,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Little Souris River,430708.538,5510820.37
2312,00,"PTH, PR Str. ",2,2018,2016,014,1977,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Dead Horse Creek, Tributary",581125.689,5449459.578
2648,00,"PTH, PR Str. ",2,2018,2016,005,1977,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Drain,466009.749,5566239.315
1602,00,"PTH, PR Str. ",2,2019,2017,003,1978,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Shannon Creek, South",572620.723,5458442.238
3930,02,"PTH, PR Str. ",2,2019,2017,007,1978,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Grassmere Drain,626682.177,5545002.892
4157,02,"PTH, PR Str. ",2,2019,2017,059,1978,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Dubas Creek,657242.752,5556805.348
4157,01,"PTH, PR Str. ",2,2019,2017,059,1978,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Dubas Creek,657279.708,5556774.156
4434,00,"PTH, PR Str. ",2,2018,2016,010,1978,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Schist Lake,324944.777,6063994.635
2638,10,"PTH, PR Str. ",2,2019,2017,030,1983,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Buffalo Lake Drain,605699.426,5448114.187
2062,00,"PTH, PR Str. ",2,2018,2016,005,1985,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Vermillion River,424155.995,5664525.332
3036,10,"PTH, PR Str. ",2,2018,2016,010,1985,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Smith Creek,357461.739,5836816.571
2807,10,"PTH, PR Str. ",2,2019,2017,023,1986,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Rat River,646473.356,5468846.756
2973,10,"PTH, PR Str. ",2,2019,2017,023,1986,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Graham Creek,572846.941,5469030.826
530,02,"PTH, PR Str. ",2,2019,2017,044,1987,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Cooks Creek,656074.585,5549430.454
530,01,"PTH, PR Str. ",2,2019,2017,044,1987,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Cooks Creek,656074.484,5549459.321
1120,10,"PTH, PR Str. ",2,2019,2017,008,1989,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Wavey Creek,639398.831,5568796.315
4369,00,"PTH, PR Str. ",2,2019,2017,013,1990,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Boyne River, Diversion",572252.717,5486917.679
1787,10,"PTH, PR Str. ",2,2019,2017,002,1992,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Oak Creek,462936.83,5490051.968
3785,02,"PTH, PR Str. ",2,2019,2017,044,1992,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Dubas Creek,661793.314,5549626.892
392,10,"PTH, PR Str. ",2,2019,2017,008,1993,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Netley Creek,639191.206,5576765.023
3785,11,"PTH, PR Str. ",2,2019,2017,044,1993,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Dubas Creek,661793.37,5549660.205
1437,10,"PTH, PR Str. ",2,2019,2017,021,1995,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Assiniboine River, Overflow",394861.595,5523324.132
2967,10,"PTH, PR Str. ",2,2019,2017,023,1995,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Graham Creek,577656.105,5467628.757
3088,10,"PTH, PR Str. ",2,2018,2016,006,2000,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Pelican Creek,505930.442,5788370.618
3323,00,Access/Service/Etc. ,4,2018,2014,675,1979,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Whitemud River,503511.257,5563940.795
3481,10,Water Control Bridge ,4,2018,2014,000,1998,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Tobacco Creek,577329.107,5472385.709
3497,00,Water Control Bridge ,4,2020,2016,000,0,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Dead Horse Creek, Tributary",582585,5452805.08
3532,00,PR Str. ,4,2018,2014,205,1976,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Joubert Creek,645767.448,5478335.173
3049,10,"PTH, PR Str. ",2,2019,2017,010,2007,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Beaver Creek,360190.099,5879205.81
3548,00,PR Str. ,4,2020,2016,218,1963,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Roseau River,646866.136,5450704.289
3561,00,PR Str. ,4,2020,2016,205,2000,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Morris River,612589.207,5479551.342
3577,10,Water Control Bridge ,4,2018,2014,000,2009,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Seine River Diversion,642340.106,5506528.544
3670,10,PR Str. ,4,2021,2017,329,1982,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Icelandic River,611497.195,5650358.361
2376,10,"PTH, PR Str. ",2,2018,2016,034,2010,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Squirrel Creek, West Branch",503606.225,5535113.591
2797,00,"PTH, PR Str. ",2,2018,2016,010,2012,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Bowsman River,348724.74,5790497.494
615,10,"PTH, PR Str. ",2,2018,2016,227,2013,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Assiniboine River, Diversion",544238.509,5550811.336
1365,10,"PTH, PR Str. ",2,2019,2017,005,2013,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Drain,465741.395,5614043.603
3925,00,Access/Service/Etc. ,4,2018,2014,305,1977,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Barnsley Drain,583398.347,5493828.397
945,10,"PTH, PR Str. ",2,2019,2017,083,2014,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Pipestone Creek,358152.313,5495536.323
4236,00,Access/Service/Etc. ,4,2019,2015,001,1975,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Drain,511794.661,5534185.822
3071,10,"PTH, PR Str. ",2,2019,2017,012,2014,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Sprague Creek,745917.368,5435507.437
3072,10,"PTH, PR Str. ",2,2019,2017,012,2014,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Mud Creek,746505.214,5435533.033
1454,10,"PTH, PR Str. ",2,2019,2017,017,2015,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Netley Creek Drain,632282.275,5583511.63
2650,10,"PTH, PR Str. ",2,2019,2017,012,2015,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Rat River,697627.278,5454299.632
4500,00,Access/Service/Etc. ,4,2021,2017,412,1995,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Fisher River,606387.973,5696531.229
4566,00,PR Str. ,4,2021,2017,325,2002,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,"Fisher River, West Branch",590768.387,5671278.794
6802,00,Water Control Bridge ,4,2019,2015,000,1970,Pre-cast pre-stressed concrete channel girder bridge (non-standard),C,Assiniboine River,547627.744,5533202.389
630,00,"PTH, PR Str. ",2,2019,2017,579,1920,Concrete arch,CA,Assiniboine River,329506.984,5618113.313
4268,00,PR Str. ,4,2020,2016,227,1976,Concrete channel girder (non-standard),CC,Rat Creek,537459.939,5550759.2
1348,00,"PTH, PR Str. ",2,2018,2016,346,1927,Concrete girder,CG,Pembina River,435998.172,5449753.131
2594,02,"PTH, PR Str. ",2,2019,2017,001,1953,Concrete girder,CG,Assiniboine River,606607.569,5527128.481
318,00,Water Control Bridge ,4,2018,2016,000,1920,Concrete girder,CG,Netley Creek,628946.375,5591236.733
1141,00,"PTH, PR Str. ",2,2018,2016,010,1954,Concrete girder,CG,Woody River,346174.65,5786895.032
389,00,PR Str. ,4,2018,2014,610,1918,Concrete girder,CG,Fork River,403162.543,5709193.402
2810,00,"PTH, PR Str. ",2,2018,2016,016,1956,Concrete girder,CG,Birdtail Creek,361586.337,5596796.716
3164,00,"PTH, PR Str. ",2,2018,2016,10A,1965,Concrete girder,CG,Swan River,344396.478,5775553.032
1197,00,"PTH, PR Str. ",2,2018,2017,458,1925,Concrete other,CO,Long River,464896.312,5442912.133
1288,00,"PTH, PR Str. ",2,2019,2017,059,1970,Concrete other,CO,Birds Hill Park Access Over PTH 59,647416.073,5542823.936
3905,01,"PTH, PR Str. ",2,2018,2016,008,1972,Concrete other,CO,Grassmere Drain,636135.311,5539742.225
3862,02,"PTH, PR Str. ",2,2018,N/A,008,1973,Concrete other,CO,"OverPass, PTH 8 & 101",635713.607,5538882.715
3862,01,"PTH, PR Str. ",2,2018,N/A,008,1973,Concrete other,CO,"OverPass, PTH 8 & 101",635729.161,5538872.752
3253,00,Access/Service/Etc. ,4,2018,2017,654,1923,Concrete other,CO,Roseisle Creek,547692.976,5483472.91
40,10,MI Culvert ,4,2021,2017,003,1997,Round concrete pipe,CP,Zetterstrom Creek,414453.208,5447852.524
490,12,MI Culvert ,4,2020,2016,059,1996,Round concrete pipe,CP,Old Prairie Grove Drain,641430.525,5517149.509
490,01,MI Culvert ,4,2020,2016,059,1996,Round concrete pipe,CP,Old Prairie Grove Drain,641455.548,5517172.924
741,00,MI Culvert ,4,2019,2015,110,2009,Round concrete pipe,CP,Drain,437352.252,5524868.056
2467,10,MI Culvert ,4,2021,2017,003,2000,Round concrete pipe,CP,Gimby Creek,457311.45,5437409.648
2766,10,MI Culvert ,4,2018,2014,005,2011,Round concrete pipe,CP,Drain,465735.414,5612689.422
3057,10,MI Culvert ,6,2023,2017,648,2004,Round concrete pipe,CP,Ditch,532746.083,5499862.198
3144,12,MI Culvert ,4,2021,2017,075,0,Round concrete pipe,CP,Drain,634258.449,5508930.734
3362,10,MI Culvert ,6,2021,2015,334,2000,Round concrete pipe,CP,Kosc Coulee,612849.546,5502645.236
3378,10,MI Culvert ,6,2018,2012,332,1998,Round concrete pipe,CP,Boyne Channel,603294.309,5487584.279
3443,10,MI Culvert ,6,2022,2016,306,2011,Round concrete pipe,CP,Buffalo Channel,591159.832,5438327.999
4429,10,MI Culvert ,4,2020,2016,002,2004,Round concrete pipe,CP,Drain,619171.253,5514190.003
4486,10,MI Culvert ,4,2018,N/A,008,2005,Round concrete pipe,CP,Ben Johnson Drain,640705.821,5660512.729
2220,00,"PTH, PR Str. ",2,2019,2017,006,1960,Dam,DAM,Fairford River,518824.544,5715280.43
3776,00,PR Str. ,4,2020,2016,482,1969,Dam,DAM,Shellmouth Dam,329687.651,5648888.78
38,00,PR Str. ,4,2020,2016,435,1985,Pre-cast pre-stressed concrete I-girder bridge,I,Brokenhead River,683133.288,5558505.233
111,10,PR Str. ,4,2021,2017,352,1992,Pre-cast pre-stressed concrete I-girder bridge,I,Whitemud River,482813.253,5564471.106
114,10,PR Str. ,4,2018,2014,487,1982,Pre-cast pre-stressed concrete I-girder bridge,I,Swan River,329898.799,5766988.384
177,00,PR Str. ,4,2021,2017,209,1984,Pre-cast pre-stressed concrete I-girder bridge,I,Roseau River,668811.588,5440104.864
575,00,PR Str. ,4,2018,2014,364,1985,Pre-cast pre-stressed concrete I-girder bridge,I,Mossey River,435181.649,5719615.39
614,00,Water Control Bridge ,4,2019,2015,000,1968,Pre-cast pre-stressed concrete I-girder bridge,I,"Assiniboine River, Diversion",544282.157,5544249.518
626,00,PR Str. ,4,2020,2016,366,1975,Pre-cast pre-stressed concrete I-girder bridge,I,Swan River,359135.983,5784885.624
2940,00,"PTH, PR Str. ",2,2018,2016,307,1958,Pre-cast pre-stressed concrete I-girder bridge,I,Whitemouth River,712089.652,5554558.768
935,10,PR Str. ,4,2018,2016,245,1982,Pre-cast pre-stressed concrete I-girder bridge,I,Boyne River,571042.52,5483775.339
1093,00,"PTH, PR Str. ",2,2018,2016,020,1960,Pre-cast pre-stressed concrete I-girder bridge,I,Ochre River,445208.248,5657249.551
3068,00,"PTH, PR Str. ",2,2019,2017,242,1960,Pre-cast pre-stressed concrete I-girder bridge,I,Pembina River,523340.729,5453274.053
